INDIV_ID,ANNOT_ID,CAMID,DATETIME,IMAGE_ID,SEQUENCE_UUID,FILEPATH
3,47873,R19,2020-05-03 12:46:00,R19_20_05_07_STC_2919_100STLTH,2d2c8596-ef21-4213-985d-cd3c62f6106e,GGR_Cams 3_Main/R19/20_05_07/DCIM/100STLTH/STC_2919.JPG
3,48833,R19,2020-05-04 06:56:00,R19_20_05_07_STC_3297_100STLTH,a5575b4d-b34b-46e6-aa8c-12cfe663aaeb,GGR_Cams 3_Main/R19/20_05_07/DCIM/100STLTH/STC_3297.JPG
3,47875,R19,2020-05-04 13:28:00,R19_20_05_07_STC_3367_100STLTH,2f8d3ee2-c217-495f-befe-aa88d744f1ab,GGR_Cams 3_Main/R19/20_05_07/DCIM/100STLTH/STC_3367.JPG
3,48834,R19,2020-05-04 13:54:00,R19_20_05_07_STC_3427_100STLTH,0741534d-00b5-40e0-af1f-2560d9aa8f09,GGR_Cams 3_Main/R19/20_05_07/DCIM/100STLTH/STC_3427.JPG
3,49443,R29,2020-01-30 15:11:00,R29_20_02_13_STC_0340_100STLTH,8c05e820-d165-4cbf-8613-89900aafd039,GGR_cams_1/R29/20_02_13/DCIM/100STLTH/STC_0340.JPG
3,48091,R29,2020-02-13 11:37:00,R29_20_02_13_STC_2882_100STLTH,19acc875-3d48-439d-8389-f361cd2b2cf0,GGR_cams_1/R29/20_02_13/DCIM/100STLTH/STC_2882.JPG
3,48498,R29,2020-02-27 15:51:00,R29_20_03_12_STC_0019_100STLTH,bd4ae78b-6e36-4e68-a6d7-b83b6945c303,GGR_Cams 2_Main/R29/20_03_12/DCIM/100STLTH/STC_0019.JPG
3,48503,R29,2020-03-09 09:52:00,R29_20_03_12_STC_1263_100STLTH,0bf4afce-da97-449a-a8ff-1dd91ab3adc9,GGR_Cams 2_Main/R29/20_03_12/DCIM/100STLTH/STC_1263.JPG
3,48504,R29,2020-03-09 11:15:00,R29_20_03_12_STC_1298_100STLTH,7d22c829-0c83-4cd4-8de1-faa3e77e4de6,GGR_Cams 2_Main/R29/20_03_12/DCIM/100STLTH/STC_1298.JPG
3,48505,R29,2020-03-10 15:50:00,R29_20_03_12_STC_1477_100STLTH,08092df5-e41b-4bf7-a019-c6ea12b3fa7c,GGR_Cams 2_Main/R29/20_03_12/DCIM/100STLTH/STC_1477.JPG
3,48878,R29,2020-04-30 09:12:00,R29_20_05_07_STC_1280_100STLTH,b03c85ff-738a-4589-abea-fe4b808f34f6,GGR_Cams 3_Main/R29/20_05_07/DCIM/100STLTH/STC_1280.JPG
4,48014,R16,2020-02-03 10:08:00,R16_20_02_18_STC_0305_100STLTH,14923a4b-0cb7-46e1-9207-319018ef3a7e,GGR_cams_1/R16/20_02_18/DCIM/100STLTH/STC_0305.JPG
5,47960,M1,2020-02-09 09:55:00,M1_20_02_18_STC_3319_101STLTH,b0b3cc42-078a-469e-87d4-066f652c5820,GGR_cams_1/M1/20_02_18/DCIM/101STLTH/STC_3319.JPG
5,48163,T2,2020-02-09 09:53:00,T2_20_02_18_STC_2218_100STLTH,78fb1c3b-5641-4936-aa5f-c15b2d1ef921,GGR_cams_1/T2/20_02_18/DCIM/100STLTH/STC_2218.JPG
6,47631,M1,2020-03-19 06:38:00,M1_20_03_23_STC_1790_100STLTH,df0e8daa-926d-4709-8b07-8837f91cda62,GGR_Cams 2_Main/M1/20_03_23/DCIM/100STLTH/STC_1790.JPG
